# Time	forces(pressure, viscous) moment(pressure, viscous)
2.5e-05	(((0.00395132 0.00395132 -1.26571e-06) (-2.92393e-07 -2.92394e-07 3.79846e-06)) ((-5.83071e-06 5.32442e-06 -0.00158053) (-3.67477e-07 1.88686e-06 1.16958e-07)))
5e-05	(((0.00754577 0.00754577 -5.10323e-06) (-4.02946e-07 -4.02949e-07 8.79999e-06)) ((-1.27149e-05 1.06737e-05 -0.00301831) (-8.51423e-07 4.37142e-06 1.6118e-07)))
7.5e-05	(((0.00964846 0.00964847 -1.01847e-05) (-5.03913e-07 -5.03918e-07 1.4372e-05)) ((-1.76199e-05 1.3546e-05 -0.00385939) (-1.39057e-06 7.13938e-06 2.01568e-07)))
0.0001	(((0.0107192 0.0107192 -1.69242e-05) (-5.94879e-07 -5.94885e-07 2.01886e-05)) ((-1.99819e-05 1.32122e-05 -0.00428766) (-1.95337e-06 1.00288e-05 2.37955e-07)))
0.000125	(((0.0111433 0.0111433 -2.55485e-05) (-6.71914e-07 -6.71921e-07 2.60181e-05)) ((-2.01327e-05 9.91331e-06 -0.00445732) (-2.51741e-06 1.29246e-05 2.68769e-07)))
0.00015	(((0.0112078 0.0112078 -3.56419e-05) (-7.39377e-07 -7.39386e-07 3.17196e-05)) ((-1.87797e-05 4.52294e-06 -0.00448312) (-3.06906e-06 1.57569e-05 2.95755e-07)))
0.000175	(((0.0111977 0.0111977 -4.67167e-05) (-7.99203e-07 -7.99213e-07 3.72466e-05)) ((-1.68373e-05 -1.8494e-06 -0.00447908) (-3.60381e-06 1.85025e-05 3.19686e-07)))
0.0002	(((0.0113181 0.0113181 -5.82215e-05) (-8.51525e-07 -8.51537e-07 4.26406e-05)) ((-1.51606e-05 -8.12799e-06 -0.00452722) (-4.12567e-06 2.11819e-05 3.40616e-07)))
0.000225	(((0.0116374 0.0116374 -6.96015e-05) (-8.96553e-07 -8.96567e-07 4.79992e-05)) ((-1.42696e-05 -1.3571e-05 -0.00465496) (-4.64411e-06 2.38438e-05 3.58628e-07)))
0.00025	(((0.0121168 0.0121168 -8.05502e-05) (-9.34705e-07 -9.3472e-07 5.34283e-05)) ((-1.42575e-05 -1.79626e-05 -0.00484673) (-5.16935e-06 2.65407e-05 3.73889e-07)))
0.000275	(((0.0126747 0.0126747 -9.11541e-05) (-9.66298e-07 -9.66315e-07 5.89998e-05)) ((-1.48904e-05 -2.15713e-05 -0.00506987) (-5.70836e-06 2.93083e-05 3.86528e-07)))
0.0003	(((0.0132409 0.0132409 -0.000101824) (-9.91402e-07 -9.91421e-07 6.47333e-05)) ((-1.57992e-05 -2.49305e-05 -0.00529635) (-6.26304e-06 3.21564e-05 3.9657e-07)))
0.000325	(((0.0137814 0.0137814 -0.000113098) (-1.00985e-06 -1.00987e-06 7.06029e-05)) ((-1.66561e-05 -2.85829e-05 -0.00551257) (-6.83089e-06 3.5072e-05 4.03949e-07)))
0.00035	(((0.0142974 0.0142974 -0.000125421) (-1.02137e-06 -1.02138e-06 7.65594e-05)) ((-1.72759e-05 -3.28927e-05 -0.00571897) (-7.40714e-06 3.80309e-05 4.08555e-07)))
0.000375	(((0.0148098 0.0148098 -0.000139003) (-1.02583e-06 -1.02585e-06 8.25549e-05)) ((-1.76317e-05 -3.79697e-05 -0.00592393) (-7.98714e-06 4.10091e-05 4.10343e-07)))
0.0004	(((0.0153425 0.0153425 -0.000153763) (-1.02342e-06 -1.02344e-06 8.85586e-05)) ((-1.78188e-05 -4.36864e-05 -0.006137) (-8.56793e-06 4.39914e-05 4.09379e-07)))
0.000425	(((0.0159097 0.0159097 -0.000169381) (-1.0147e-06 -1.01473e-06 9.45622e-05)) ((-1.79824e-05 -4.97701e-05 -0.00636388) (-9.1487e-06 4.69736e-05 4.05893e-07)))
0.00045	(((0.0165117 0.0165117 -0.000185409) (-1.00062e-06 -1.00065e-06 0.000100575)) ((-1.82556e-05 -5.59079e-05 -0.00660467) (-9.73036e-06 4.99604e-05 4.00261e-07)))
0.000475	(((0.0171374 0.0171374 -0.000201386) (-9.82325e-07 -9.82352e-07 0.000106616)) ((-1.87225e-05 -6.18317e-05 -0.00685495) (-1.03147e-05 5.29609e-05 3.92943e-07)))
0.0005	(((0.0177707 0.0177707 -0.000216941) (-9.60978e-07 -9.61008e-07 0.000112702)) ((-1.94102e-05 -6.73664e-05 -0.00710828) (-1.09034e-05 5.59842e-05 3.84406e-07)))
0.000525	(((0.0183972 0.0183972 -0.000231852) (-9.37586e-07 -9.37618e-07 0.000118847)) ((-2.03014e-05 -7.24393e-05 -0.0073589) (-1.14978e-05 5.90366e-05 3.7505e-07)))
0.00055	(((0.0190088 0.0190088 -0.000246053) (-9.12875e-07 -9.1291e-07 0.000125055)) ((-2.1357e-05 -7.70643e-05 -0.0076035) (-1.20983e-05 6.21204e-05 3.65168e-07)))
0.000575	(((0.0196047 0.0196047 -0.000259621) (-8.87256e-07 -8.87294e-07 0.000131325)) ((-2.2537e-05 -8.13114e-05 -0.00784188) (-1.27048e-05 6.52347e-05 3.54921e-07)))
0.0006	(((0.020191 0.020191 -0.000272725) (-8.60848e-07 -8.60889e-07 0.00013765)) ((-2.38132e-05 -8.52769e-05 -0.00807639) (-1.33165e-05 6.83764e-05 3.44359e-07)))
