# Time forceX forceY forceZ normalForce
0 0 0 0 0
2.5e-05 0.0039508 0.0039508 3.79818e-06 -0.00620595
5e-05 0.00754431 0.00754431 8.79832e-06 -0.0118493
7.5e-05 0.00964564 0.00964564 1.43675e-05 -0.0151479
0.0001 0.0107147 0.0107147 2.01795e-05 -0.0168258
0.000125 0.0111369 0.0111369 2.60028e-05 -0.0174886
0.00015 0.0111992 0.0111992 3.16961e-05 -0.0175865
0.000175 0.0111867 0.0111867 3.72129e-05 -0.0175671
0.0002 0.0113045 0.0113045 4.25945e-05 -0.0177522
0.000225 0.0116211 0.0116211 4.79384e-05 -0.0182495
0.00025 0.0120976 0.0120976 5.33503e-05 -0.0189978
0.000275 0.0126525 0.0126525 5.89019e-05 -0.019869
0.0003 0.0132155 0.0132155 6.46127e-05 -0.0207531
0.000325 0.0137527 0.0137527 7.04567e-05 -0.0215966
0.00035 0.014265 0.0142651 7.63847e-05 -0.022401
0.000375 0.0147734 0.0147734 8.23488e-05 -0.0231992
0.0004 0.0153015 0.0153015 8.83185e-05 -0.0240286
0.000425 0.0158637 0.0158637 9.42856e-05 -0.0249116
0.00045 0.0164604 0.0164604 0.00010026 -0.0258486
0.000475 0.0170805 0.0170805 0.000106259 -0.0268225
0.0005 0.0177081 0.0177081 0.000112302 -0.0278081
0.000525 0.0183288 0.0183288 0.000118401 -0.0287829
0.00055 0.0189344 0.0189344 0.000124561 -0.029734
0.000575 0.0195245 0.0195245 0.00013078 -0.0306606
0.0006 0.0201048 0.0201048 0.000137051 -0.0315718
0.000625 0.0206848 0.0206848 0.000143367 -0.0324825
0.00065 0.0212744 0.0212744 0.000149721 -0.0334083
0.000675 0.0218813 0.0218813 0.000156108 -0.0343612
0.0007 0.0225095 0.0225095 0.000162525 -0.0353477
0.000725 0.0231595 0.0231595 0.00016897 -0.0363684
0.00075 0.0238287 0.0238287 0.000175441 -0.0374192
0.000775 0.0245125 0.0245125 0.000181939 -0.0384931
0.0008 0.0252071 0.0252071 0.000188462 -0.0395838
0.000825 0.0259076 0.0259076 0.000195009 -0.0406838
0.00085 0.0266103 0.0266103 0.00020158 -0.0417873
0.000875 0.0273136 0.0273136 0.000208175 -0.0428918
0.0009 0.0280174 0.0280174 0.000214793 -0.043997
0.000925 0.0287227 0.0287227 0.000221434 -0.0451045
0.00095 0.0294312 0.0294312 0.000228096 -0.046217
0.000975 0.0301446 0.0301446 0.00023478 -0.0473373
0.001 0.0308647 0.0308647 0.000241484 -0.048468
0.001025 0.0315927 0.0315927 0.000248205 -0.0496112
0.00105 0.0323292 0.0323292 0.000254942 -0.0507677
0.001075 0.0330743 0.0330743 0.000261693 -0.0519377
0.0011 0.0338276 0.0338276 0.000268457 -0.0531205
0.001125 0.0345881 0.0345881 0.000275232 -0.0543148
0.00115 0.0353551 0.0353551 0.000282016 -0.0555192
0.001175 0.0361273 0.0361273 0.000288809 -0.0567318
0.0012 0.036904 0.036904 0.000295609 -0.0579515
0.001225 0.0376844 0.0376844 0.000302417 -0.0591769
0.00125 0.0384681 0.0384681 0.000309232 -0.0604076
0.001275 0.0392549 0.0392549 0.000316052 -0.0616432
0.0013 0.040045 0.040045 0.000322878 -0.0628837
0.001325 0.0408383 0.0408383 0.000329708 -0.0641296
0.00135 0.0416354 0.0416354 0.000336541 -0.0653812
0.001375 0.0424363 0.0424363 0.000343377 -0.0666388
0.0014 0.0432413 0.0432413 0.000350215 -0.0679028
0.001425 0.0440503 0.0440503 0.000357053 -0.0691733
0.00145 0.0448634 0.0448634 0.000363891 -0.07045
0.001475 0.0456802 0.0456802 0.000370727 -0.0717327
0.0015 0.0465005 0.0465005 0.000377561 -0.0730208
0.001525 0.047324 0.047324 0.000384392 -0.074314
0.00155 0.0481504 0.0481504 0.00039122 -0.0756116
0.001575 0.0489793 0.0489793 0.000398043 -0.0769132
0.0016 0.0498104 0.0498104 0.000404862 -0.0782184
0.001625 0.0506437 0.0506437 0.000411675 -0.0795269
0.00165 0.0514789 0.0514789 0.000418483 -0.0808385
0.001675 0.0523135 0.0523135 0.000425283 -0.0821489
0.0017 0.0531492 0.0531492 0.000432077 -0.0834613
0.001725 0.0539877 0.0539877 0.000438863 -0.084778
0.00175 0.0548292 0.0548292 0.000445641 -0.0860993
0.001775 0.0556734 0.0556734 0.000452411 -0.087425
0.0018 0.0565199 0.0565199 0.000459171 -0.0887543
0.001825 0.0573683 0.0573683 0.000465921 -0.0900865
0.00185 0.058218 0.058218 0.000472662 -0.0914208
0.001875 0.0590687 0.0590687 0.000479392 -0.0927567
0.0019 0.0599202 0.0599202 0.00048611 -0.0940937
0.001925 0.0607724 0.0607724 0.000492818 -0.095432
0.00195 0.0616255 0.0616255 0.000499513 -0.0967716
0.001975 0.0624794 0.0624794 0.000506197 -0.0981125
0.002 0.0633341 0.0633341 0.000512867 -0.0994547
0.002025 0.0641896 0.0641896 0.000519525 -0.100798
0.00205 0.0650458 0.0650458 0.00052617 -0.102143
0.002075 0.0659025 0.0659025 0.000532801 -0.103488
0.0021 0.0667596 0.0667596 0.000539418 -0.104834
0.002125 0.0676171 0.0676171 0.000546021 -0.10618
0.00215 0.0684749 0.0684749 0.00055261 -0.107527
0.002175 0.0693329 0.0693329 0.000559184 -0.108875
0.0022 0.070191 0.070191 0.000565742 -0.110222
0.002225 0.0710493 0.0710493 0.000572286 -0.11157
0.00225 0.0719077 0.0719077 0.000578813 -0.112918
0.002275 0.0727661 0.0727661 0.000585325 -0.114266
0.0023 0.0736244 0.0736244 0.00059182 -0.115614
0.002325 0.0744827 0.0744827 0.000598299 -0.116961
0.00235 0.0753407 0.0753407 0.00060476 -0.118309
0.002375 0.0761985 0.0761985 0.000611204 -0.119656
0.0024 0.077056 0.077056 0.000617631 -0.121002
0.002425 0.0779131 0.0779131 0.000624038 -0.122348
0.00245 0.0787698 0.0787698 0.000630426 -0.123694
0.002475 0.0796261 0.0796261 0.000636795 -0.125038
0.0025 0.0804819 0.0804819 0.000643143 -0.126382
0.002525 0.0813371 0.0813371 0.00064947 -0.127725
0.00255 0.0821918 0.0821918 0.000655775 -0.129067
0.002575 0.0830459 0.0830459 0.000662056 -0.130408
0.0026 0.0838992 0.0838992 0.000668312 -0.131748
0.002625 0.0847519 0.0847519 0.000674542 -0.133087
0.00265 0.0856037 0.0856037 0.000680744 -0.134425
0.002675 0.0864547 0.0864547 0.000686917 -0.135761
0.0027 0.0873048 0.0873048 0.000693059 -0.137096
0.002725 0.088154 0.088154 0.000699167 -0.13843
0.00275 0.0890022 0.0890022 0.000705239 -0.139762
0.002775 0.0898493 0.0898493 0.000711272 -0.141092
0.0028 0.0906954 0.0906954 0.000717264 -0.142421
0.002825 0.0915402 0.0915402 0.000723212 -0.143747
0.00285 0.0923839 0.0923839 0.000729113 -0.145072
0.002875 0.0932264 0.0932264 0.000734963 -0.146395
0.0029 0.0940675 0.0940675 0.000740759 -0.147716
0.002925 0.0949073 0.0949073 0.000746497 -0.149035
0.00295 0.0957458 0.0957458 0.000752174 -0.150351
0.002975 0.0965828 0.0965828 0.000757787 -0.151666
0.003 0.0974184 0.0974184 0.00076333 -0.152978
0.003025 0.0973177 0.0973177 0.000767921 -0.15282
0.00305 0.0963239 0.0963239 0.000771237 -0.151259
0.003075 0.0947934 0.0947934 0.000773114 -0.148856
0.0031 0.0929851 0.0929851 0.000773477 -0.146016
0.003125 0.0920007 0.0920007 0.000773195 -0.14447
0.00315 0.0918845 0.0918845 0.000772607 -0.144288
0.003175 0.0923007 0.0923007 0.000771906 -0.144941
0.0032 0.0929541 0.0929541 0.000771189 -0.145967
0.003225 0.0936368 0.0936368 0.000770469 -0.147039
0.00325 0.0942217 0.0942217 0.0007697 -0.147958
0.003275 0.0946744 0.0946744 0.000768807 -0.148668
0.0033 0.0950194 0.0950194 0.00076772 -0.14921
0.003325 0.0953086 0.0953086 0.000766398 -0.149664
0.00335 0.0955867 0.0955867 0.000764838 -0.150101
0.003375 0.0958741 0.0958741 0.000763069 -0.150553
0.0034 0.0961677 0.0961678 0.00076113 -0.151014
0.003425 0.0964526 0.0964526 0.000759059 -0.151461
0.00345 0.0967142 0.0967142 0.000756879 -0.151872
0.003475 0.0969456 0.0969457 0.000754595 -0.152235
0.0035 0.0971503 0.0971503 0.000752202 -0.152557
0.003525 0.0973384 0.0973384 0.000749688 -0.152852
0.00355 0.0975223 0.0975223 0.000747045 -0.153141
0.003575 0.0977118 0.0977118 0.000744265 -0.153438
0.0036 0.0979114 0.0979114 0.00074135 -0.153752
0.003625 0.0981196 0.0981196 0.000738306 -0.154079
0.00365 0.0983306 0.0983306 0.00073514 -0.15441
0.003675 0.0985364 0.0985364 0.000731863 -0.154734
0.0037 0.0987294 0.0987294 0.000728484 -0.155037
0.003725 0.0989042 0.0989042 0.00072501 -0.155311
0.00375 0.0990584 0.0990584 0.000721447 -0.155553
0.003775 0.0991925 0.0991925 0.0007178 -0.155764
0.0038 0.0993094 0.0993094 0.000714074 -0.155948
0.003825 0.0994127 0.0994127 0.000710271 -0.15611
0.00385 0.0995066 0.0995066 0.000706395 -0.156257
0.003875 0.0995943 0.0995943 0.000702448 -0.156395
0.0039 0.0996781 0.0996781 0.000698433 -0.156527
0.003925 0.0997591 0.0997591 0.00069435 -0.156654
0.00395 0.0998372 0.0998372 0.000690204 -0.156777
0.003975 0.0999117 0.0999117 0.000685996 -0.156894
0.004 0.0999813 0.0999813 0.000681729 -0.157003
0.004025 0.100045 0.100045 0.000677405 -0.157102
0.00405 0.1001 0.1001 0.000673029 -0.15719
0.004075 0.100148 0.100148 0.000668603 -0.157265
0.0041 0.100187 0.100187 0.000664132 -0.157326
0.004125 0.100217 0.100217 0.000659617 -0.157374
0.00415 0.10024 0.10024 0.000655063 -0.157409
0.004175 0.100255 0.100255 0.000650472 -0.157433
0.0042 0.100263 0.100263 0.000645847 -0.157446
0.004225 0.100267 0.100267 0.000641188 -0.157451
0.00425 0.100265 0.100265 0.000636499 -0.157449
0.004275 0.10026 0.10026 0.00063178 -0.15744
0.0043 0.10025 0.10025 0.000627034 -0.157426
0.004325 0.100237 0.100237 0.000622262 -0.157405
0.00435 0.100221 0.100221 0.000617465 -0.157379
0.004375 0.1002 0.1002 0.000612645 -0.157347
0.0044 0.100176 0.100176 0.000607805 -0.157309
0.004425 0.100147 0.100147 0.000602946 -0.157264
0.00445 0.100115 0.100115 0.00059807 -0.157213
0.004475 0.100078 0.100078 0.000593178 -0.157154
0.0045 0.100037 0.100037 0.000588272 -0.15709
0.004525 0.0999908 0.0999908 0.000583355 -0.157018
0.00455 0.0999412 0.0999412 0.000578426 -0.15694
0.004575 0.0998888 0.0998888 0.000573488 -0.156858
0.0046 0.099834 0.099834 0.000568542 -0.156772
0.004625 0.0997772 0.0997772 0.000563588 -0.156683
0.00465 0.0997183 0.0997183 0.000558629 -0.15659
0.004675 0.0996575 0.0996575 0.000553665 -0.156495
0.0047 0.0995945 0.0995945 0.000548696 -0.156396
0.004725 0.0995294 0.0995294 0.000543725 -0.156294
0.00475 0.0994621 0.0994622 0.000538753 -0.156188
0.004775 0.0993928 0.0993929 0.000533779 -0.156079
0.0048 0.0993216 0.0993216 0.000528805 -0.155967
0.004825 0.0992487 0.0992487 0.000523833 -0.155853
0.00485 0.0991741 0.0991741 0.000518863 -0.155736
0.004875 0.0990981 0.0990981 0.000513895 -0.155616
0.0049 0.0990207 0.0990207 0.000508932 -0.155495
0.004925 0.0989421 0.0989421 0.000503974 -0.155371
0.00495 0.0988625 0.0988625 0.000499021 -0.155246
0.004975 0.0987818 0.0987818 0.000494074 -0.15512
0.005 0.0987002 0.0987002 0.000489134 -0.154991
0.005025 0.0986179 0.0986179 0.000484203 -0.154862
0.00505 0.0985349 0.0985349 0.00047928 -0.154732
0.005075 0.0984513 0.0984513 0.000474367 -0.1546
0.0051 0.0983672 0.0983672 0.000469464 -0.154468
0.005125 0.0982828 0.0982828 0.000464573 -0.154336
0.00515 0.0981979 0.098198 0.000459693 -0.154203
0.005175 0.0981128 0.0981128 0.000454826 -0.154069
0.0052 0.0980274 0.0980274 0.000449974 -0.153935
0.005225 0.0979419 0.0979419 0.000445136 -0.1538
0.00525 0.0978561 0.0978561 0.000440314 -0.153666
0.005275 0.0977703 0.0977703 0.000435509 -0.153531
0.0053 0.0976845 0.0976845 0.000430722 -0.153396
0.005325 0.0975986 0.0975986 0.000425953 -0.153261
0.00535 0.0975128 0.0975128 0.000421206 -0.153127
0.005375 0.0974272 0.0974272 0.00041648 -0.152992
0.0054 0.0973416 0.0973416 0.000411777 -0.152858
0.005425 0.0972563 0.0972563 0.000407099 -0.152724
0.00545 0.0971711 0.0971711 0.000402447 -0.15259
0.005475 0.0970861 0.0970861 0.000397823 -0.152456
0.0055 0.0970014 0.0970014 0.000393229 -0.152323
0.005525 0.0969169 0.0969169 0.000388667 -0.152191
0.00555 0.0968327 0.0968327 0.00038414 -0.152058
0.005575 0.0967488 0.0967488 0.000379649 -0.151927
0.0056 0.0966652 0.0966652 0.000375198 -0.151795
0.005625 0.0965819 0.0965819 0.000370788 -0.151665
0.00565 0.096499 0.096499 0.000366424 -0.151534
0.005675 0.0964165 0.0964165 0.000362108 -0.151405
0.0057 0.0963343 0.0963343 0.000357845 -0.151276
0.005725 0.0962526 0.0962526 0.000353637 -0.151147
0.00575 0.0961713 0.0961713 0.000349489 -0.15102
0.005775 0.0960905 0.0960905 0.000345405 -0.150893
0.0058 0.0960102 0.0960102 0.000341389 -0.150767
0.005825 0.0959304 0.0959304 0.000337447 -0.150641
0.00585 0.0958512 0.0958513 0.000333583 -0.150517
0.005875 0.0957726 0.0957726 0.000329802 -0.150393
0.0059 0.0956946 0.0956947 0.000326111 -0.150271
0.005925 0.0956173 0.0956173 0.000322513 -0.150149
0.00595 0.0955406 0.0955406 0.000319016 -0.150029
0.005975 0.0954646 0.0954646 0.000315624 -0.14991
0.006 0.0953894 0.0953894 0.000312344 -0.149791
0.006025 0.0953148 0.0953148 0.000309181 -0.149674
0.00605 0.095241 0.095241 0.000306141 -0.149558
0.006075 0.0951679 0.0951679 0.000303229 -0.149444
0.0061 0.0950956 0.0950956 0.000300451 -0.14933
0.006125 0.0950241 0.0950241 0.000297813 -0.149218
0.00615 0.0949533 0.0949533 0.000295318 -0.149107
0.006175 0.0948833 0.0948833 0.000292972 -0.148997
0.0062 0.094814 0.094814 0.00029078 -0.148888
0.006225 0.0947454 0.0947454 0.000288744 -0.14878
0.00625 0.0946775 0.0946775 0.000286868 -0.148673
0.006275 0.0946102 0.0946102 0.000285155 -0.148568
0.0063 0.0945436 0.0945436 0.000283607 -0.148463
0.006325 0.0944776 0.0944776 0.000282226 -0.14836
0.00635 0.0944122 0.0944122 0.000281014 -0.148257
0.006375 0.0943473 0.0943473 0.000279972 -0.148155
0.0064 0.094283 0.094283 0.000279099 -0.148054
0.006425 0.094219 0.094219 0.000278395 -0.147954
0.00645 0.0941556 0.0941556 0.000277859 -0.147854
0.006475 0.0940925 0.0940925 0.00027749 -0.147755
0.0065 0.0940297 0.0940297 0.000277287 -0.147656
0.006525 0.0939673 0.0939674 0.000277247 -0.147558
0.00655 0.0939053 0.0939053 0.000277367 -0.147461
0.006575 0.0938434 0.0938434 0.000277645 -0.147364
0.0066 0.0937818 0.0937818 0.000278077 -0.147267
0.006625 0.0937205 0.0937205 0.00027866 -0.147171
0.00665 0.0936593 0.0936593 0.00027939 -0.147075
0.006675 0.0935983 0.0935983 0.000280263 -0.146979
0.0067 0.0935375 0.0935375 0.000281276 -0.146883
0.006725 0.0934768 0.0934768 0.000282424 -0.146788
0.00675 0.0934162 0.0934162 0.000283702 -0.146693
0.006775 0.0933557 0.0933557 0.000285107 -0.146598
0.0068 0.0932953 0.0932953 0.000286634 -0.146503
0.006825 0.093235 0.093235 0.000288279 -0.146408
0.00685 0.0931747 0.0931747 0.000290039 -0.146314
0.006875 0.0931145 0.0931145 0.000291907 -0.146219
0.0069 0.0930542 0.0930542 0.000293881 -0.146124
0.006925 0.092994 0.092994 0.000295955 -0.14603
0.00695 0.0929337 0.0929337 0.000298127 -0.145935
0.006975 0.0928734 0.0928734 0.000300392 -0.145841
0.007 0.092813 0.092813 0.000302746 -0.145746
0.007025 0.0927525 0.0927525 0.000305185 -0.145651
0.00705 0.0926918 0.0926918 0.000307706 -0.145555
0.007075 0.092631 0.092631 0.000310305 -0.14546
0.0071 0.0925701 0.0925701 0.000312978 -0.145364
0.007125 0.0925089 0.0925089 0.000315722 -0.145268
0.00715 0.0924474 0.0924474 0.000318534 -0.145172
0.007175 0.0923857 0.0923857 0.000321411 -0.145075
0.0072 0.0923236 0.0923236 0.000324348 -0.144977
0.007225 0.0922612 0.0922612 0.000327344 -0.144879
0.00725 0.0921984 0.0921984 0.000330395 -0.144781
0.007275 0.0921351 0.0921351 0.000333497 -0.144681
0.0073 0.0920714 0.0920714 0.000336649 -0.144581
0.007325 0.0920071 0.0920071 0.000339848 -0.14448
0.00735 0.0919422 0.0919422 0.000343091 -0.144379
0.007375 0.0918767 0.0918767 0.000346375 -0.144276
0.0074 0.0918106 0.0918106 0.000349698 -0.144172
0.007425 0.0917437 0.0917437 0.000353056 -0.144067
0.00745 0.0916761 0.0916761 0.000356449 -0.143961
0.007475 0.0916076 0.0916076 0.000359873 -0.143853
0.0075 0.0915384 0.0915384 0.000363327 -0.143744
0.007525 0.0914682 0.0914682 0.000366808 -0.143634
0.00755 0.0913971 0.0913971 0.000370313 -0.143523
0.007575 0.091325 0.091325 0.000373842 -0.143409
0.0076 0.0912519 0.0912519 0.00037739 -0.143295
0.007625 0.0911778 0.0911778 0.000380958 -0.143178
0.00765 0.0911025 0.0911025 0.000384542 -0.14306
0.007675 0.0910262 0.0910262 0.000388142 -0.14294
0.0077 0.0909488 0.0909488 0.000391754 -0.142819
0.007725 0.0908702 0.0908702 0.000395378 -0.142695
0.00775 0.0907904 0.0907905 0.000399011 -0.14257
0.007775 0.0907095 0.0907095 0.000402652 -0.142443
0.0078 0.0906274 0.0906274 0.000406298 -0.142314
0.007825 0.0905441 0.0905441 0.00040995 -0.142183
0.00785 0.0904596 0.0904596 0.000413604 -0.142051
0.007875 0.0903739 0.0903739 0.000417259 -0.141916
0.0079 0.090287 0.090287 0.000420915 -0.14178
0.007925 0.0901989 0.0901989 0.000424568 -0.141641
0.00795 0.0901097 0.0901097 0.000428218 -0.141501
0.007975 0.0900193 0.0900193 0.000431864 -0.141359
0.008 0.0899277 0.0899277 0.000435505 -0.141216
0.008025 0.0898349 0.0898349 0.000439138 -0.14107
0.00805 0.089741 0.089741 0.000442763 -0.140922
0.008075 0.089646 0.089646 0.000446378 -0.140773
0.0081 0.0895498 0.0895498 0.000449982 -0.140622
0.008125 0.0894525 0.0894525 0.000453574 -0.140469
0.00815 0.0893539 0.0893539 0.000457153 -0.140315
0.008175 0.0892543 0.0892543 0.000460717 -0.140158
0.0082 0.0891534 0.0891534 0.000464266 -0.14
0.008225 0.0890512 0.0890512 0.000467798 -0.139839
0.00825 0.0889479 0.0889479 0.000471312 -0.139677
0.008275 0.0888432 0.0888432 0.000474806 -0.139513
0.0083 0.0887371 0.0887371 0.000478281 -0.139346
0.008325 0.0886296 0.0886296 0.000481733 -0.139177
0.00835 0.0885207 0.0885207 0.000485163 -0.139006
0.008375 0.0884101 0.0884101 0.000488569 -0.138833
0.0084 0.0882979 0.0882979 0.000491948 -0.138656
0.008425 0.0881839 0.088184 0.000495301 -0.138477
0.00845 0.0880681 0.0880681 0.000498625 -0.138296
0.008475 0.0879503 0.0879503 0.000501918 -0.138111
0.0085 0.0878305 0.0878305 0.00050518 -0.137922
0.008525 0.0877084 0.0877084 0.000508408 -0.137731
0.00855 0.0875839 0.0875839 0.0005116 -0.137535
0.008575 0.087457 0.087457 0.000514754 -0.137336
0.0086 0.0873274 0.0873274 0.000517867 -0.137132
0.008625 0.0871952 0.0871952 0.000520939 -0.136925
0.00865 0.08706 0.08706 0.000523966 -0.136712
0.008675 0.0869218 0.0869218 0.000526946 -0.136495
0.0087 0.0867804 0.0867804 0.000529875 -0.136273
0.008725 0.0866358 0.0866358 0.000532751 -0.136046
