# Time Dx Dy Dz magD
2.5e-05 0 2.71495e-12 -5.81506e-14 2.71557e-12
5e-05 0 1.19232e-11 -3.38985e-13 1.1928e-11
7.5e-05 0 3.13769e-11 -1.17908e-12 3.13991e-11
0.0001 0 6.42833e-11 -3.12935e-12 6.43595e-11
0.000125 0 1.12786e-10 -6.91454e-12 1.12998e-10
0.00015 0 1.77776e-10 -1.32902e-11 1.78272e-10
0.000175 0 2.58954e-10 -2.28566e-11 2.59961e-10
0.0002 0 3.55405e-10 -3.58942e-11 3.57213e-10
0.000225 0 4.66192e-10 -5.23137e-11 4.69118e-10
0.00025 0 5.90995e-10 -7.17423e-11 5.95333e-10
0.000275 0 7.30463e-10 -9.37423e-11 7.36454e-10
0.0003 0 8.86185e-10 -1.18071e-10 8.94016e-10
0.000325 0 1.06039e-09 -1.44898e-10 1.07024e-09
0.00035 0 1.25553e-09 -1.74902e-10 1.26766e-09
0.000375 0 1.47385e-09 -2.09213e-10 1.48862e-09
0.0004 0 1.71733e-09 -2.49247e-10 1.73533e-09
0.000425 0 1.98771e-09 -2.96503e-10 2.00971e-09
0.00045 0 2.28659e-09 -3.52401e-10 2.31358e-09
0.000475 0 2.61562e-09 -4.1824e-10 2.64885e-09
0.0005 0 2.97677e-09 -4.95277e-10 3.01769e-09
0.000525 0 3.37236e-09 -5.84916e-10 3.42271e-09
0.00055 0 3.80516e-09 -6.88925e-10 3.86702e-09
0.000575 0 4.27821e-09 -8.0963e-10 4.35415e-09
0.0006 0 4.79481e-09 -9.50041e-10 4.88803e-09
0.000625 0 5.35837e-09 -1.1139e-09 5.47293e-09
0.00065 0 5.97242e-09 -1.30569e-09 6.11348e-09
0.000675 0 6.6406e-09 -1.53061e-09 6.81472e-09
0.0007 0 7.36675e-09 -1.79463e-09 7.5822e-09
0.000725 0 8.15496e-09 -2.10458e-09 8.42215e-09
0.00075 0 9.00966e-09 -2.46832e-09 9.34166e-09
0.000775 0 9.93564e-09 -2.89501e-09 1.03488e-08
0.0008 0 1.09385e-08 -3.39539e-09 1.14534e-08
0.000825 0 1.2024e-08 -3.9821e-09 1.26662e-08
0.00085 0 1.3198e-08 -4.67009e-09 1.39999e-08
0.000875 0 1.4467e-08 -5.47703e-09 1.54691e-08
0.0009 0 1.58377e-08 -6.42395e-09 1.7091e-08
0.000925 0 1.73174e-08 -7.53593e-09 1.8886e-08
0.00095 0 1.89138e-08 -8.8433e-09 2.08791e-08
0.000975 0 2.06356e-08 -1.03829e-08 2.31005e-08
0.001 0 2.24921e-08 -1.22004e-08 2.5588e-08
0.001025 0 2.44937e-08 -1.43521e-08 2.83888e-08
0.00105 0 2.66517e-08 -1.69089e-08 3.1563e-08
0.001075 0 2.89792e-08 -1.99596e-08 3.51877e-08
0.0011 0 3.14905e-08 -2.36156e-08 3.93618e-08
0.001125 0 3.42018e-08 -2.80169e-08 4.42121e-08
0.00115 0 3.71315e-08 -3.33378e-08 4.99015e-08
0.001175 0 4.03002e-08 -3.97943e-08 5.66365e-08
0.0012 0 4.3731e-08 -4.76517e-08 6.46768e-08
0.001225 0 4.74497e-08 -5.72326e-08 7.43441e-08
0.00125 0 5.14847e-08 -6.89248e-08 8.60308e-08
0.001275 0 5.58671e-08 -8.3189e-08 1.00208e-07
0.0013 0 6.06307e-08 -1.00566e-07 1.17429e-07
0.001325 0 6.58109e-08 -1.21679e-07 1.38336e-07
0.00135 0 7.14452e-08 -1.47244e-07 1.63662e-07
0.001375 0 7.75716e-08 -1.7806e-07 1.94223e-07
0.0014 0 8.42283e-08 -2.15016e-07 2.30925e-07
0.001425 0 9.14525e-08 -2.59081e-07 2.74748e-07
0.00145 0 9.92794e-08 -3.11294e-07 3.26742e-07
0.001475 0 1.07741e-07 -3.72753e-07 3.88012e-07
0.0015 0 1.16866e-07 -4.44598e-07 4.59701e-07
0.001525 0 1.26676e-07 -5.27992e-07 5.42976e-07
0.00155 0 1.37188e-07 -6.24099e-07 6.38999e-07
0.001575 0 1.48414e-07 -7.34058e-07 7.48912e-07
0.0016 0 1.60357e-07 -8.58966e-07 8.73806e-07
0.001625 0 1.73014e-07 -9.99846e-07 1.0147e-06
0.00165 0 1.86377e-07 -1.15763e-06 1.17254e-06
0.001675 0 2.00427e-07 -1.33314e-06 1.34813e-06
0.0017 0 2.15143e-07 -1.52708e-06 1.54216e-06
0.001725 0 2.30505e-07 -1.73999e-06 1.75519e-06
0.00175 0 2.46489e-07 -1.97228e-06 1.98763e-06
0.001775 0 2.63071e-07 -2.22423e-06 2.23973e-06
0.0018 0 2.80232e-07 -2.49593e-06 2.51161e-06
0.001825 0 2.97951e-07 -2.78736e-06 2.80324e-06
0.00185 0 3.16216e-07 -3.09838e-06 3.11447e-06
0.001875 0 3.35015e-07 -3.42871e-06 3.44504e-06
0.0019 0 3.54348e-07 -3.77798e-06 3.79456e-06
0.001925 0 3.74217e-07 -4.14576e-06 4.16261e-06
0.00195 0 3.94632e-07 -4.53152e-06 4.54867e-06
0.001975 0 4.15609e-07 -4.93471e-06 4.95218e-06
0.002 0 4.37171e-07 -5.35475e-06 5.37256e-06
0.002025 0 4.59345e-07 -5.79103e-06 5.80922e-06
0.00205 0 4.82164e-07 -6.24296e-06 6.26155e-06
0.002075 0 5.05664e-07 -6.70994e-06 6.72896e-06
0.0021 0 5.29885e-07 -7.19137e-06 7.21087e-06
0.002125 0 5.54869e-07 -7.68672e-06 7.70672e-06
0.00215 0 5.80659e-07 -8.19542e-06 8.21597e-06
0.002175 0 6.073e-07 -8.71697e-06 8.7381e-06
0.0022 0 6.34837e-07 -9.25088e-06 9.27264e-06
0.002225 0 6.63318e-07 -9.79667e-06 9.8191e-06
0.00225 0 6.92788e-07 -1.03539e-05 1.0377e-05
0.002275 0 7.23295e-07 -1.09221e-05 1.09461e-05
0.0023 0 7.54886e-07 -1.1501e-05 1.15257e-05
0.002325 0 7.87608e-07 -1.209e-05 1.21156e-05
0.00235 0 8.2151e-07 -1.26888e-05 1.27154e-05
0.002375 0 8.56641e-07 -1.32971e-05 1.33246e-05
0.0024 0 8.9305e-07 -1.39144e-05 1.3943e-05
0.002425 0 9.30789e-07 -1.45404e-05 1.45702e-05
0.00245 0 9.69908e-07 -1.51748e-05 1.52058e-05
0.002475 0 1.01046e-06 -1.58173e-05 1.58495e-05
0.0025 0 1.0525e-06 -1.64674e-05 1.6501e-05
0.002525 0 1.09608e-06 -1.7125e-05 1.716e-05
0.00255 0 1.14125e-06 -1.77896e-05 1.78262e-05
0.002575 0 1.18808e-06 -1.8461e-05 1.84992e-05
0.0026 0 1.23662e-06 -1.91388e-05 1.91787e-05
0.002625 0 1.28693e-06 -1.98229e-05 1.98646e-05
0.00265 0 1.33907e-06 -2.05128e-05 2.05565e-05
