Time outerCorrector residual
2.5e-05 1 1
2.5e-05 2 0.0220151
2.5e-05 3 0.00102937
2.5e-05 4 4.23585e-05
2.5e-05 5 2.09078e-06
2.5e-05 6 9.76598e-08
5e-05 1 0.37174
5e-05 2 0.143851
5e-05 3 0.0618528
5e-05 4 0.0281567
5e-05 5 0.0132765
5e-05 6 0.00641306
5e-05 7 0.00315305
5e-05 8 0.00157138
5e-05 9 0.000791556
5e-05 10 0.000402203
5e-05 11 0.000205832
5e-05 12 0.00010597
5e-05 13 5.48357e-05
5e-05 14 2.85008e-05
5e-05 15 1.4871e-05
5e-05 16 7.7868e-06
5e-05 17 4.09106e-06
5e-05 18 2.15689e-06
5e-05 19 1.14184e-06
5e-05 20 6.07553e-07
7.5e-05 1 0.119224
7.5e-05 2 0.0497478
7.5e-05 3 0.0224011
7.5e-05 4 0.0105164
7.5e-05 5 0.0050697
7.5e-05 6 0.00249013
7.5e-05 7 0.00124037
7.5e-05 8 0.000624649
7.5e-05 9 0.000317351
7.5e-05 10 0.000162397
7.5e-05 11 8.36051e-05
7.5e-05 12 4.32624e-05
7.5e-05 13 2.24855e-05
7.5e-05 14 1.17322e-05
7.5e-05 15 6.14328e-06
7.5e-05 16 3.22765e-06
7.5e-05 17 1.70141e-06
7.5e-05 18 9.00156e-07
0.0001 1 0.036389
0.0001 2 0.0149214
0.0001 3 0.00681397
0.0001 4 0.00326133
0.0001 5 0.00160074
0.0001 6 0.000798489
0.0001 7 0.000402959
0.0001 8 0.000205175
0.0001 9 0.000105217
0.0001 10 5.42746e-05
0.0001 11 2.81354e-05
0.0001 12 1.46471e-05
0.0001 13 7.65375e-06
0.0001 14 4.01308e-06
0.0001 15 2.11099e-06
0.0001 16 1.11421e-06
0.0001 17 5.90459e-07
0.000125 1 0.0120272
0.000125 2 0.00343121
0.000125 3 0.00126614
0.000125 4 0.000561004
0.000125 5 0.000272114
0.000125 6 0.000137286
0.000125 7 7.05281e-05
0.000125 8 3.65819e-05
0.000125 9 1.90881e-05
0.000125 10 1.00025e-05
0.000125 11 5.25942e-06
0.000125 12 2.77382e-06
0.000125 13 1.46724e-06
0.000125 14 7.7854e-07
0.00015 1 0.00810295
0.00015 2 0.00238904
0.00015 3 0.000872502
0.00015 4 0.000374636
0.00015 5 0.000175345
0.00015 6 8.53896e-05
0.00015 7 4.23926e-05
0.00015 8 2.12814e-05
0.00015 9 1.07661e-05
0.00015 10 5.47997e-06
0.00015 11 2.80428e-06
0.00015 12 1.44204e-06
0.00015 13 7.4492e-07
0.000175 1 0.00688416
0.000175 2 0.00225942
0.000175 3 0.000880436
0.000175 4 0.000392846
0.000175 5 0.000189265
0.000175 6 9.46062e-05
0.000175 7 4.81366e-05
0.000175 8 2.47282e-05
0.000175 9 1.27806e-05
0.000175 10 6.63542e-06
0.000175 11 3.45794e-06
0.000175 12 1.80818e-06
0.000175 13 9.48641e-07
0.0002 1 0.00612242
0.0002 2 0.00197335
0.0002 3 0.000678191
0.0002 4 0.000251284
0.0002 5 0.000101164
0.0002 6 4.41879e-05
0.0002 7 2.06657e-05
0.0002 8 1.01515e-05
0.0002 9 5.14744e-06
0.0002 10 2.66135e-06
0.0002 11 1.39262e-06
0.0002 12 7.34491e-07
0.000225 1 0.00613597
0.000225 2 0.0022092
0.000225 3 0.000840401
0.000225 4 0.000337189
0.000225 5 0.000141745
0.000225 6 6.1931e-05
0.000225 7 2.79155e-05
0.000225 8 1.29021e-05
0.000225 9 6.08506e-06
0.000225 10 2.91775e-06
0.000225 11 1.41831e-06
0.000225 12 6.97459e-07
0.00025 1 0.00597033
0.00025 2 0.00236945
0.00025 3 0.000995581
0.00025 4 0.000439299
0.00025 5 0.00020153
0.00025 6 9.52318e-05
0.00025 7 4.60185e-05
0.00025 8 2.262e-05
0.00025 9 1.12675e-05
0.00025 10 5.67228e-06
0.00025 11 2.88028e-06
0.00025 12 1.47319e-06
0.00025 13 7.58293e-07
0.000275 1 0.00531869
0.000275 2 0.00222128
0.000275 3 0.000979155
0.000275 4 0.000449915
0.000275 5 0.000213347
0.000275 6 0.000103561
0.000275 7 5.11541e-05
0.000275 8 2.5605e-05
0.000275 9 1.29498e-05
0.000275 10 6.60385e-06
0.000275 11 3.39066e-06
0.000275 12 1.75096e-06
0.000275 13 9.08853e-07
0.0003 1 0.00443434
0.0003 2 0.00189157
0.0003 3 0.000851643
0.0003 4 0.000398361
0.0003 5 0.000191661
0.0003 6 9.41426e-05
0.0003 7 4.69593e-05
0.0003 8 2.36991e-05
0.0003 9 1.20698e-05
0.0003 10 6.19218e-06
0.0003 11 3.19593e-06
0.0003 12 1.65799e-06
0.0003 13 8.64096e-07
0.000325 1 0.00361526
0.000325 2 0.00154578
0.000325 3 0.000698943
0.000325 4 0.000328368
0.000325 5 0.000158626
0.000325 6 7.82047e-05
0.000325 7 3.91418e-05
0.000325 8 1.98151e-05
0.000325 9 1.01203e-05
0.000325 10 5.20544e-06
0.000325 11 2.693e-06
0.000325 12 1.40012e-06
0.000325 13 7.31203e-07
0.00035 1 0.00301896
0.00035 2 0.00128168
0.00035 3 0.000575813
0.00035 4 0.000269175
0.00035 5 0.00012955
0.00035 6 6.37027e-05
0.00035 7 3.18272e-05
0.00035 8 1.6094e-05
0.00035 9 8.21429e-06
0.00035 10 4.22355e-06
0.00035 11 2.1848e-06
0.00035 12 1.1361e-06
0.00035 13 5.93548e-07
0.000375 1 0.00265666
0.000375 2 0.00112073
0.000375 3 0.000499377
0.000375 4 0.000231598
0.000375 5 0.00011068
0.000375 6 5.40982e-05
0.000375 7 2.68954e-05
0.000375 8 1.35456e-05
0.000375 9 6.89108e-06
0.000375 10 3.53378e-06
0.000375 11 1.824e-06
0.000375 12 9.46761e-07
0.0004 1 0.00245317
0.0004 2 0.00103622
0.0004 3 0.000460894
0.0004 4 0.000213031
0.0004 5 0.000101389
0.0004 6 4.9346e-05
0.0004 7 2.44331e-05
0.0004 8 1.22598e-05
0.0004 9 6.21629e-06
0.0004 10 3.1784e-06
0.0004 11 1.63635e-06
0.0004 12 8.47502e-07
0.000425 1 0.00232026
0.000425 2 0.000989042
0.000425 3 0.000442647
0.000425 4 0.000205351
0.000425 5 9.79077e-05
0.000425 6 4.76761e-05
0.000425 7 2.35998e-05
0.000425 8 1.18331e-05
0.000425 9 5.99416e-06
0.000425 10 3.06157e-06
0.000425 11 1.57449e-06
0.000425 12 8.14582e-07
0.00045 1 0.00219744
0.00045 2 0.00094929
0.00045 3 0.000429477
0.00045 4 0.00020088
0.00045 5 9.63499e-05
0.00045 6 4.71181e-05
0.00045 7 2.33942e-05
0.00045 8 1.17551e-05
0.00045 9 5.96368e-06
0.00045 10 3.04927e-06
0.00045 11 1.56936e-06
0.00045 12 8.12371e-07
0.000475 1 0.00205916
0.000475 2 0.000901991
0.000475 3 0.000412923
0.000475 4 0.000194978
0.000475 5 9.42163e-05
0.000475 6 4.63408e-05
0.000475 7 2.31116e-05
0.000475 8 1.1654e-05
0.000475 9 5.92897e-06
0.000475 10 3.03838e-06
0.000475 11 1.56665e-06
0.000475 12 8.12212e-07
0.0005 1 0.00190483
0.0005 2 0.000844313
0.0005 3 0.000390611
0.0005 4 0.000186066
0.0005 5 9.05476e-05
0.0005 6 4.47887e-05
0.0005 7 2.2439e-05
0.0005 8 1.13566e-05
0.0005 9 5.79517e-06
0.0005 10 2.97731e-06
0.0005 11 1.53843e-06
