# Drag and lift coefficients of the bending beam, Cd = 2 Fx/(rho Umean^2 H Lz)
# and Cl = 2 Fy/(rho Umean^2 H Lz), computed with pimpleFoam on a body-fitted
# mesh deformed with the beam (displacementLaplacian), on the mesh of the
# embedded beam case of Sairam Pamulaparthi Venkata (solids4foam/cardiacFoam#20)
# with twice as many cells in each direction, and the time step 0.0025 s
# Time Cd Cl
0.01 -9.1488 -2.3119
0.02 -1.0359 -2.2375
0.03 5.0155 -2.4057
0.04 10.0380 -2.7122
0.05 14.6180 -3.1193
0.06 19.0236 -3.6203
0.07 23.3062 -4.1929
0.08 27.3827 -4.8142
0.09 31.2195 -5.4522
0.1 35.0229 -6.1379
0.11 38.8285 -6.8584
0.12 42.3319 -7.5580
0.13 45.6791 -8.2339
0.14 48.8565 -8.8758
0.15 52.1894 -9.5560
0.16 55.2161 -10.1593
0.17 57.8526 -10.6522
0.18 60.6457 -11.1382
0.19 62.8844 -11.4545
0.2 65.1222 -11.7238
0.21 66.9486 -11.8347
0.22 69.0530 -11.9759
0.23 70.4800 -11.8526
0.24 72.3066 -11.7886
0.25 73.5017 -11.4993
0.26 74.7037 -11.1336
0.27 75.5248 -10.6166
0.28 76.3835 -10.0357
0.29 77.0070 -9.3386
0.3 77.5066 -8.5648
0.31 77.8699 -7.7051
0.32 78.1752 -6.7928
0.33 78.3011 -5.7967
0.34 78.3150 -4.7648
0.35 78.2336 -3.6741
0.36 78.1356 -2.5777
0.37 77.6165 -1.3972
0.38 77.2044 -0.2399
0.39 76.7142 0.9069
0.4 75.9114 2.0908
0.41 75.2507 3.2099
0.42 74.3920 4.3327
0.43 73.1362 5.4509
0.44 72.0532 6.4994
0.45 70.6631 7.5190
0.46 68.8219 8.5148
0.47 67.1242 9.4063
0.48 65.1259 10.2401
0.49 62.6573 11.0346
0.5 60.0652 11.7224
0.51 57.1529 12.3201
0.52 53.9831 12.8156
0.53 50.4004 13.1939
0.54 46.6183 13.4437
0.55 42.5203 13.5720
0.56 38.1119 13.5678
0.57 33.5287 13.4146
0.58 28.3449 13.0984
0.59 23.3920 12.6605
0.6 18.1134 12.0827
0.61 12.7308 11.3771
0.62 7.0371 10.5382
0.63 1.5436 9.5988
0.64 -4.3221 8.5251
0.65 -9.7409 7.4483
0.66 -15.5759 6.2162
0.67 -20.7781 5.0457
0.68 -26.1631 3.8021
0.69 -31.1173 2.5974
0.7 -35.7801 1.4343
0.71 -40.2598 0.3127
0.72 -44.2887 -0.7115
0.73 -48.1732 -1.6734
0.74 -51.1647 -2.4351
0.75 -54.1455 -3.1535
0.76 -56.7404 -3.7120
0.77 -58.8463 -4.1226
0.78 -60.2794 -4.3619
0.79 -61.5014 -4.4751
0.8 -62.2239 -4.4324
0.81 -62.8688 -4.3145
0.82 -62.9014 -4.0200
0.83 -62.3806 -3.5890
0.84 -61.7566 -3.0844
0.85 -60.8455 -2.4914
0.86 -59.3513 -1.7967
0.87 -57.6604 -1.0609
0.88 -55.7421 -0.2978
0.89 -53.8932 0.4730
0.9 -51.6678 1.2567
0.91 -49.2545 2.0333
0.92 -46.7181 2.7843
0.93 -43.9164 3.4990
0.94 -40.8882 4.1683
0.95 -37.9508 4.7560
0.96 -34.7287 5.2952
0.97 -31.6070 5.7167
0.98 -28.1579 6.0594
0.99 -24.7304 6.2950
1 -21.0644 6.4211
1.01 -17.2435 6.4366
1.02 -13.4033 6.3369
1.03 -9.3264 6.1176
1.04 -5.2046 5.7866
1.05 -0.9552 5.3250
1.06 3.2379 4.7806
1.07 7.6331 4.1058
1.08 11.9672 3.3510
1.09 16.3486 2.5181
1.1 20.7597 1.6035
1.11 25.0656 0.6561
1.12 29.4401 -0.3712
1.13 33.8118 -1.4196
1.14 37.9537 -2.4564
1.15 42.1813 -3.5264
1.16 46.0721 -4.5358
1.17 49.8945 -5.5123
1.18 53.6244 -6.4445
1.19 57.0404 -7.2761
1.2 60.2006 -7.9985
1.21 63.2688 -8.6600
1.22 65.9981 -9.1622
1.23 68.4432 -9.5391
1.24 71.1056 -9.9082
1.25 73.1057 -10.0339
1.26 75.1192 -10.0885
1.27 76.6603 -9.9535
1.28 78.1907 -9.7358
1.29 79.3959 -9.3664
1.3 80.4838 -8.9180
1.31 81.2783 -8.3257
1.32 81.9114 -7.6447
1.33 82.3612 -6.8739
1.34 82.4702 -6.0004
1.35 82.6811 -5.1041
1.36 82.6670 -4.1428
1.37 82.2264 -3.0862
1.38 81.7785 -2.0165
1.39 81.2188 -0.9384
1.4 80.3004 0.1962
1.41 79.5010 1.2857
1.42 78.4876 2.3917
1.43 77.2281 3.4812
1.44 75.6654 4.5946
1.45 74.0583 5.6350
1.46 72.0783 6.6657
1.47 69.9750 7.6186
1.48 67.8591 8.5014
1.49 65.2600 9.3401
1.5 62.4775 10.0871
1.51 59.3873 10.7518
1.52 56.0491 11.2885
1.53 52.3858 11.7482
1.54 48.4615 12.0555
1.55 44.3535 12.2488
1.56 39.8665 12.2949
1.57 35.2459 12.2023
1.58 30.2269 11.9700
1.59 25.1361 11.5780
1.6 19.8908 11.0639
1.61 14.4721 10.4165
1.62 8.6862 9.6049
1.63 3.2132 8.7149
1.64 -2.4230 7.7379
1.65 -7.8729 6.6742
1.66 -13.3526 5.5583
1.67 -18.8475 4.3913
1.68 -23.9940 3.2197
1.69 -28.7689 2.0971
1.7 -33.6940 0.9365
1.71 -37.9568 -0.1080
1.72 -41.9632 -1.0860
1.73 -45.7396 -1.9922
1.74 -48.9378 -2.7478
1.75 -51.7960 -3.4060
1.76 -53.8898 -3.8599
1.77 -56.1802 -4.2639
1.78 -57.8306 -4.5048
1.79 -58.6854 -4.5402
1.8 -59.3550 -4.4688
1.81 -59.9724 -4.3281
1.82 -59.7775 -3.9945
1.83 -59.3850 -3.5678
1.84 -58.7246 -3.0557
1.85 -57.7775 -2.4592
1.86 -56.4022 -1.7868
1.87 -54.7198 -1.0566
1.88 -52.7304 -0.2986
1.89 -50.6990 0.4667
1.9 -48.3311 1.2418
1.91 -46.1197 1.9730
1.92 -43.5445 2.6988
1.93 -40.6936 3.3884
1.94 -37.7790 4.0204
1.95 -34.9180 4.5795
1.96 -31.7675 5.0825
1.97 -28.6139 5.4848
1.98 -25.2477 5.8061
1.99 -21.8691 6.0388
2 -18.2699 6.1506
2.01 -14.5720 6.1694
2.02 -10.8662 6.0799
2.03 -6.9149 5.8771
2.04 -2.9365 5.5692
2.05 1.1137 5.1529
2.06 5.2047 4.6279
2.07 9.4513 3.9921
2.08 13.6105 3.2826
2.09 17.8405 2.4953
2.1 22.1096 1.6243
2.11 26.2822 0.7180
