# Time forceX forceY forceZ normalForce
0 0 0 0 0
0.001 3.62296e+07 -18848.1 -0.0977992 -9016.64
0.002 7.70943e+07 74585 0.0221381 115887
0.003 1.18673e+08 277591 0.293813 372532
0.004 1.60325e+08 588487 0.221621 759214
0.005 2.01955e+08 1.00677e+06 0.0850824 1.27541e+06
0.006 2.43555e+08 1.53227e+06 -0.000202322 1.92094e+06
0.007 2.8513e+08 2.16493e+06 -0.00584506 2.69577e+06
0.008 3.26685e+08 2.90472e+06 -0.00161443 3.59983e+06
0.009 3.68224e+08 3.75159e+06 0.0150621 4.6331e+06
0.01 4.06548e+08 4.69965e+06 -0.107094 5.78077e+06
0.011 4.30015e+08 5.74983e+06 -0.0702911 7.05431e+06
0.012 4.51925e+08 6.89954e+06 0.0425077 8.45248e+06
0.013 4.74235e+08 8.1544e+06 0.0820004 9.98029e+06
0.014 4.9187e+08 7.62267e+06 0.0843463 9.71309e+06
0.015 4.95533e+08 8.53417e+06 0.0863816 1.08092e+07
0.016 5.00513e+08 9.28544e+06 0.0822806 1.17621e+07
0.017 5.05558e+08 1.03649e+07 0.078354 1.30511e+07
0.018 5.1031e+08 1.15887e+07 0.0751701 1.44891e+07
0.019 5.14715e+08 1.29104e+07 0.0716058 1.60284e+07
0.02 5.18779e+08 1.43164e+07 0.0690903 1.7655e+07
0.021 5.22593e+08 1.56861e+07 -0.0267541 1.92462e+07
0.022 5.25996e+08 1.7055e+07 -0.0687729 2.08346e+07
0.023 5.28961e+08 1.84609e+07 -0.086316 2.24574e+07
0.024 5.31541e+08 1.99132e+07 -0.094113 2.41241e+07
0.025 5.33795e+08 2.1414e+07 -0.0973349 2.58368e+07
0.026 5.35774e+08 2.2963e+07 -0.0981347 2.75958e+07
0.027 5.37517e+08 2.45593e+07 -0.0982149 2.94002e+07
0.028 5.39059e+08 2.62018e+07 -0.0979053 3.12492e+07
0.029 5.40427e+08 2.78892e+07 -0.0973988 3.31415e+07
0.03 5.41612e+08 2.95348e+07 -0.0879398 3.49901e+07
0.031 5.4221e+08 3.007e+07 -0.0863783 3.572e+07
0.032 5.42731e+08 3.12485e+07 -0.0895991 3.7092e+07
0.033 5.43214e+08 3.2609e+07 -0.0854438 3.86456e+07
0.034 5.43663e+08 3.40331e+07 -0.0831288 4.02623e+07
0.035 5.4408e+08 3.54912e+07 -0.079622 4.19126e+07
0.036 5.44463e+08 3.69761e+07 -0.0768585 4.35891e+07
0.037 5.44815e+08 3.84861e+07 -0.0746376 4.52903e+07
0.038 5.45135e+08 4.00204e+07 -0.0727874 4.70154e+07
0.039 5.45426e+08 4.15787e+07 -0.0713668 4.87639e+07
0.04 5.45688e+08 4.31603e+07 -0.0702957 5.05353e+07
0.041 5.4586e+08 4.49516e+07 -0.0828638 5.25144e+07
0.042 5.45871e+08 4.70893e+07 -0.0813746 5.48365e+07
0.043 5.45893e+08 4.89847e+07 -0.0797255 5.69162e+07
0.044 5.45932e+08 5.0837e+07 -0.0785904 5.89531e+07
0.045 5.45985e+08 5.26951e+07 -0.077754 6.09959e+07
0.046 5.46048e+08 5.457e+07 -0.0768355 6.30555e+07
0.047 5.46117e+08 5.64629e+07 -0.0760182 6.51333e+07
0.048 5.4619e+08 5.83732e+07 -0.0751364 6.72283e+07
0.049 5.46263e+08 6.02997e+07 -0.074077 6.93396e+07
0.05 5.46336e+08 6.22414e+07 -0.0727443 7.14659e+07
0.051 5.46408e+08 6.41972e+07 -0.0710773 7.36063e+07
0.052 5.46477e+08 6.61666e+07 -0.0685232 7.576e+07
0.053 5.46544e+08 6.81486e+07 -0.0647028 7.79262e+07
0.054 5.46607e+08 7.01428e+07 -0.0599655 8.01044e+07
0.055 5.46666e+08 7.21486e+07 -0.0549764 8.2294e+07
0.056 5.46722e+08 7.41655e+07 -0.0449276 8.44946e+07
0.057 5.46774e+08 7.61931e+07 -0.0354942 8.67056e+07
0.058 5.46823e+08 7.8231e+07 -0.0252727 8.89267e+07
0.059 5.46868e+08 8.02789e+07 -0.00810302 9.11576e+07
0.06 5.46911e+08 8.23363e+07 0.000746423 9.33978e+07
0.061 5.4695e+08 8.44031e+07 0.02165 9.56472e+07
0.062 5.46987e+08 8.64788e+07 0.0547645 9.79053e+07
0.063 5.47021e+08 8.85632e+07 0.0714126 1.00172e+08
0.064 5.47053e+08 9.06561e+07 0.0803624 1.02447e+08
0.065 5.47083e+08 9.27571e+07 0.0995453 1.0473e+08
0.066 5.47111e+08 9.48661e+07 0.105066 1.0702e+08
0.067 5.47137e+08 9.69828e+07 0.127986 1.09318e+08
0.068 5.47162e+08 9.9107e+07 0.137522 1.11624e+08
0.069 5.47186e+08 1.01239e+08 0.141253 1.13936e+08
0.07 5.47209e+08 1.03377e+08 0.143404 1.16256e+08
0.071 5.4723e+08 1.05523e+08 0.142312 1.18582e+08
0.072 5.47251e+08 1.07675e+08 0.1396 1.20915e+08
0.073 5.47271e+08 1.09833e+08 0.136032 1.23253e+08
0.074 5.47291e+08 1.11998e+08 0.132271 1.25598e+08
0.075 5.4731e+08 1.14169e+08 0.128345 1.27949e+08
0.076 5.47329e+08 1.16346e+08 0.125484 1.30306e+08
0.077 5.47347e+08 1.18529e+08 0.124646 1.32669e+08
0.078 5.47366e+08 1.20717e+08 0.0970373 1.35036e+08
0.079 5.47384e+08 1.22911e+08 0.0858596 1.37409e+08
0.08 5.47403e+08 1.2511e+08 0.0778726 1.39788e+08
0.081 5.47422e+08 1.27315e+08 0.0757927 1.42171e+08
0.082 5.47441e+08 1.29524e+08 0.050497 1.44559e+08
0.083 5.47461e+08 1.31739e+08 0.0380774 1.46952e+08
0.084 5.4748e+08 1.33958e+08 0.0305472 1.49349e+08
0.085 5.47501e+08 1.36181e+08 0.0262081 1.51751e+08
0.086 5.47521e+08 1.38409e+08 0.028486 1.54157e+08
0.087 5.47542e+08 1.40642e+08 0.0083779 1.56568e+08
0.088 5.47564e+08 1.42879e+08 -0.0172666 1.58982e+08
0.089 5.47587e+08 1.45119e+08 -0.0267648 1.61401e+08
0.09 5.4761e+08 1.47364e+08 -0.0137648 1.63823e+08
0.091 5.47634e+08 1.49613e+08 -0.0259968 1.66249e+08
0.092 5.47658e+08 1.51865e+08 -0.0438203 1.68678e+08
0.093 5.47683e+08 1.54121e+08 -0.0513478 1.71111e+08
0.094 5.4771e+08 1.56381e+08 -0.0543838 1.73547e+08
0.095 5.47737e+08 1.58644e+08 -0.0546718 1.75987e+08
0.096 5.47764e+08 1.6091e+08 -0.0665491 1.78429e+08
0.097 5.47793e+08 1.6318e+08 -0.0570354 1.80875e+08
0.098 5.47823e+08 1.65452e+08 -0.065573 1.83323e+08
0.099 5.47853e+08 1.67728e+08 -0.0782166 1.85775e+08
0.1 5.47885e+08 1.70007e+08 -0.0698699 1.88229e+08
