#"U:0","U:1","U:2","D:0","D:1","D:2","D_0:0","D_0:1","D_0:2","T","T0","epsilon:0","epsilon:1","epsilon:2","epsilon:3","epsilon:4","epsilon:5","epsilonEq","heatFlux:0","heatFlux:1","heatFlux:2","k","rhoC","sigma:0","sigma:1","sigma:2","sigma:3","sigma:4","sigma:5","sigmaEq","pointD:0","pointD:1","pointD:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
4.0336e-05,6.0932e-07,6.0932e-07,0.00014677,2.116e-06,2.116e-06,0.00010644,1.5067e-06,1.5067e-06,500,300,0.0029866,0.00074252,0.00074252,3.5263e-05,-1.0148e-06,3.5263e-05,0.0014971,8.5384e+05,12654,12654,20,3.7665e+06,-1.1612e+06,-3.2788e+08,-3.2788e+08,5.1341e+06,-1.4775e+05,5.1341e+06,3.2696e+08,0.00014699,-1.7437e-22,0,1,0,0.19,0,0
4.0381e-05,6.1021e-07,6.1021e-07,0.00014701,2.1211e-06,2.1211e-06,0.00010663,1.5109e-06,1.5109e-06,496.44,300,0.0029261,0.00074298,0.00074298,3.4435e-05,-1.0045e-06,3.4435e-05,0.0014565,8.4076e+05,12471,12471,20,3.7665e+06,1.081e+05,-3.1775e+08,-3.1775e+08,5.0135e+06,-1.4625e+05,5.0135e+06,3.1809e+08,0.00014722,-9.9852e-23,0,1,0.0001,0.1901,0,0
4.0427e-05,6.1111e-07,6.1111e-07,0.00014724,2.1263e-06,2.1263e-06,0.00010681,1.5152e-06,1.5152e-06,492.87,300,0.0028657,0.00074344,0.00074344,3.3607e-05,-9.9418e-07,3.3607e-05,0.0014159,8.2768e+05,12288,12288,20,3.7665e+06,1.3774e+06,-3.0761e+08,-3.0761e+08,4.893e+06,-1.4475e+05,4.893e+06,3.0923e+08,0.00014745,-5.4626e-23,0,1,0.0002,0.1902,0,0
4.0473e-05,6.12e-07,6.12e-07,0.00014747,2.1315e-06,2.1315e-06,0.000107,1.5195e-06,1.5195e-06,489.31,300,0.0028053,0.00074389,0.00074389,3.2779e-05,-9.8388e-07,3.2779e-05,0.0013753,8.146e+05,12104,12104,20,3.7665e+06,2.6467e+06,-2.9748e+08,-2.9748e+08,4.7725e+06,-1.4325e+05,4.7725e+06,3.0036e+08,0.00014768,-2.8602e-23,0,1,0.00030001,0.1903,0,0
4.0519e-05,6.129e-07,6.129e-07,0.0001477,2.1367e-06,2.1367e-06,0.00010718,1.5238e-06,1.5238e-06,485.75,300,0.0027449,0.00074435,0.00074435,3.1951e-05,-9.7358e-07,3.1951e-05,0.0013347,8.0152e+05,11921,11921,20,3.7665e+06,3.916e+06,-2.8735e+08,-2.8735e+08,4.6519e+06,-1.4175e+05,4.6519e+06,2.9149e+08,0.00014791,-1.4367e-23,0,1,0.00040001,0.1904,0,0
4.0565e-05,6.1379e-07,6.1379e-07,0.00014793,2.1418e-06,2.1419e-06,0.00010737,1.5281e-06,1.5281e-06,482.18,300,0.0026845,0.00074481,0.00074481,3.1124e-05,-9.6328e-07,3.1124e-05,0.0012941,7.8844e+05,11738,11738,20,3.7665e+06,5.1853e+06,-2.7722e+08,-2.7722e+08,4.5314e+06,-1.4025e+05,4.5314e+06,2.8263e+08,0.00014814,-6.8242e-24,0,1,0.00050001,0.1905,0,0
4.061e-05,6.1469e-07,6.1469e-07,0.00014817,2.147e-06,2.147e-06,0.00010756,1.5323e-06,1.5323e-06,478.62,300,0.0026241,0.00074526,0.00074526,3.0296e-05,-9.5297e-07,3.0296e-05,0.0012535,7.7536e+05,11555,11555,20,3.7665e+06,6.4545e+06,-2.6709e+08,-2.6709e+08,4.4109e+06,-1.3875e+05,4.4109e+06,2.7376e+08,0.00014837,-2.804e-24,0,1,0.0006,0.1906,0,0
4.0656e-05,6.1558e-07,6.1558e-07,0.0001484,2.1522e-06,2.1522e-06,0.00010774,1.5366e-06,1.5366e-06,475.06,300,0.0025637,0.00074572,0.00074572,2.9468e-05,-9.4267e-07,2.9468e-05,0.0012129,7.6228e+05,11372,11372,20,3.7665e+06,7.7238e+06,-2.5696e+08,-2.5696e+08,4.2904e+06,-1.3725e+05,4.2903e+06,2.649e+08,0.0001486,-6.8449e-25,0,1,0.0007,0.1907,0,0
4.0702e-05,6.1648e-07,6.1648e-07,0.00014863,2.1574e-06,2.1574e-06,0.00010793,1.5409e-06,1.5409e-06,471.49,300,0.0025033,0.00074618,0.00074618,2.864e-05,-9.3237e-07,2.864e-05,0.0011723,7.492e+05,11189,11189,20,3.7665e+06,8.9931e+06,-2.4683e+08,-2.4683e+08,4.1698e+06,-1.3575e+05,4.1698e+06,2.5603e+08,0.00014883,-2.5354e-27,0,1,0.0008,0.1908,0,0
4.0748e-05,6.1737e-07,6.1737e-07,0.00014886,2.1626e-06,2.1626e-06,0.00010811,1.5452e-06,1.5452e-06,467.93,300,0.0024429,0.00074663,0.00074663,2.7812e-05,-9.2207e-07,2.7812e-05,0.0011317,7.3612e+05,11006,11006,20,3.7665e+06,1.0262e+07,-2.367e+08,-2.367e+08,4.0493e+06,-1.3425e+05,4.0493e+06,2.4716e+08,0.00014906,-1.0568e-24,0,1,0.0009,0.1909,0,0
