# Time Dx Dy Dz magD
0.0001 2.50778e-11 8.04759e-22 1.62289e-10 1.64216e-10
0.0002 8.96781e-11 -3.19749e-19 8.01959e-10 8.06957e-10
0.0003 2.19388e-10 -6.14755e-19 2.34134e-09 2.3516e-09
0.0004 4.59979e-10 -2.21371e-18 5.27022e-09 5.29025e-09
0.0005 8.61553e-10 -4.60411e-18 1.01113e-08 1.0148e-08
0.0006 1.45745e-09 -7.21036e-18 1.73806e-08 1.74416e-08
0.0007 2.2555e-09 -1.00096e-17 2.75486e-08 2.76408e-08
0.0008 3.244e-09 -1.14118e-17 4.1018e-08 4.1146e-08
0.0009 4.40486e-09 -1.12119e-17 5.81232e-08 5.82899e-08
0.001 5.72495e-09 -9.8803e-18 7.91504e-08 7.93572e-08
0.0011 7.20093e-09 -7.88367e-18 1.04365e-07 1.04614e-07
0.0012 8.83795e-09 -6.63065e-18 1.3404e-07 1.34331e-07
0.0013 1.06449e-08 -7.26766e-18 1.68465e-07 1.68801e-07
0.0014 1.26299e-08 -9.02231e-18 2.07959e-07 2.08342e-07
0.0015 1.47971e-08 -1.09757e-17 2.52855e-07 2.53287e-07
0.0016 1.71468e-08 -1.26582e-17 3.03496e-07 3.0398e-07
0.0017 1.96763e-08 -1.40905e-17 3.60219e-07 3.60756e-07
0.0018 2.23819e-08 -1.59244e-17 4.23351e-07 4.23942e-07
0.0019 2.52604e-08 -1.96099e-17 4.932e-07 4.93846e-07
0.002 2.831e-08 -2.63551e-17 5.70061e-07 5.70764e-07
0.0021 3.153e-08 -3.61797e-17 6.54218e-07 6.54978e-07
0.0022 3.49207e-08 -4.77756e-17 7.45948e-07 7.46765e-07
0.0023 3.84825e-08 -5.9313e-17 8.45523e-07 8.46398e-07
0.0024 4.22157e-08 -6.93906e-17 9.53218e-07 9.54152e-07
0.0025 4.61197e-08 -7.74719e-17 1.06931e-06 1.0703e-06
0.0026 5.01933e-08 -8.38178e-17 1.19406e-06 1.19511e-06
0.0027 5.44349e-08 -8.9121e-17 1.32775e-06 1.32886e-06
0.0028 5.88423e-08 -9.40598e-17 1.47064e-06 1.47182e-06
0.0029 6.34129e-08 -9.91454e-17 1.62301e-06 1.62424e-06
0.003 6.81437e-08 -1.04598e-16 1.78509e-06 1.78639e-06
0.0031 7.30309e-08 -1.10341e-16 1.95716e-06 1.95852e-06
0.0032 7.80701e-08 -1.16137e-16 2.13945e-06 2.14088e-06
0.0033 8.32559e-08 -1.21623e-16 2.33221e-06 2.3337e-06
0.0034 8.85814e-08 -1.26576e-16 2.53568e-06 2.53723e-06
0.0035 9.40386e-08 -1.3102e-16 2.7501e-06 2.75171e-06
0.0036 9.96182e-08 -1.35022e-16 2.9757e-06 2.97737e-06
0.0037 1.05309e-07 -1.38942e-16 3.2127e-06 3.21443e-06
0.0038 1.111e-07 -1.42818e-16 3.46134e-06 3.46312e-06
0.0039 1.16979e-07 -1.46553e-16 3.72181e-06 3.72365e-06
0.004 1.22932e-07 -1.49882e-16 3.99434e-06 3.99623e-06
0.0041 1.28949e-07 -1.52808e-16 4.27912e-06 4.28107e-06
0.0042 1.35019e-07 -1.55818e-16 4.57634e-06 4.57833e-06
0.0043 1.41136e-07 -1.59817e-16 4.88618e-06 4.88821e-06
0.0044 1.47296e-07 -1.65669e-16 5.20879e-06 5.21087e-06
0.0045 1.53501e-07 -1.71152e-16 5.54432e-06 5.54645e-06
0.0046 1.59759e-07 -1.76301e-16 5.89293e-06 5.89509e-06
0.0047 1.66085e-07 -1.79771e-16 6.25471e-06 6.25691e-06
0.0048 1.72503e-07 -1.81178e-16 6.62978e-06 6.63202e-06
0.0049 1.79043e-07 -1.82693e-16 7.01824e-06 7.02052e-06
0.005 1.85745e-07 -1.86113e-16 7.42016e-06 7.42248e-06
0.0051 1.92654e-07 -1.91681e-16 7.83561e-06 7.83798e-06
0.0052 1.99823e-07 -1.97607e-16 8.26466e-06 8.26708e-06
