# Time Dx Dy Dz magD
0.0001 1.89178e-10 3.34984e-22 3.6003e-10 4.06707e-10
0.0002 6.25944e-10 -8.64189e-20 1.4732e-09 1.60066e-09
0.0003 1.31039e-09 -6.77327e-20 3.73065e-09 3.95409e-09
0.0004 2.23337e-09 6.16317e-19 7.54829e-09 7.87176e-09
0.0005 3.38806e-09 2.23515e-18 1.33642e-08 1.3787e-08
0.0006 4.76953e-09 4.24451e-18 2.16098e-08 2.21299e-08
0.0007 6.37412e-09 5.44156e-18 3.26846e-08 3.33004e-08
0.0008 8.19944e-09 4.82413e-18 4.69502e-08 4.76608e-08
0.0009 1.02441e-08 2.67183e-18 6.47385e-08 6.5544e-08
0.001 1.25073e-08 2.82535e-19 8.63663e-08 8.72672e-08
0.0011 1.49879e-08 -1.12653e-18 1.12147e-07 1.13145e-07
0.0012 1.76847e-08 -1.16545e-18 1.42399e-07 1.43493e-07
0.0013 2.05962e-08 -9.66748e-20 1.77445e-07 1.78637e-07
0.0014 2.37209e-08 1.67072e-18 2.17612e-07 2.18901e-07
0.0015 2.7057e-08 3.22743e-18 2.63226e-07 2.64613e-07
0.0016 3.06031e-08 4.11503e-18 3.14611e-07 3.16096e-07
0.0017 3.43577e-08 3.99025e-18 3.72084e-07 3.73667e-07
0.0018 3.83192e-08 3.30953e-18 4.35953e-07 4.37634e-07
0.0019 4.24864e-08 3.12051e-18 5.06519e-07 5.08298e-07
0.002 4.68577e-08 4.14437e-18 5.84077e-07 5.85954e-07
0.0021 5.14318e-08 6.06951e-18 6.68916e-07 6.7089e-07
0.0022 5.62073e-08 7.70668e-18 7.6132e-07 7.63392e-07
0.0023 6.11827e-08 7.90323e-18 8.61571e-07 8.6374e-07
0.0024 6.63567e-08 6.3407e-18 9.69947e-07 9.72214e-07
0.0025 7.17278e-08 3.6633e-18 1.08672e-06 1.08909e-06
0.0026 7.72944e-08 9.68518e-19 1.21218e-06 1.21464e-06
0.0027 8.30552e-08 -8.06384e-19 1.34657e-06 1.34913e-06
0.0028 8.90085e-08 -1.26538e-18 1.49017e-06 1.49282e-06
0.0029 9.51524e-08 -5.70393e-19 1.64323e-06 1.64598e-06
0.003 1.01485e-07 7.368e-19 1.80602e-06 1.80887e-06
0.0031 1.08004e-07 2.00696e-18 1.97878e-06 1.98173e-06
0.0032 1.14707e-07 2.72183e-18 2.16177e-06 2.16481e-06
0.0033 1.2159e-07 2.61832e-18 2.35522e-06 2.35836e-06
0.0034 1.2865e-07 1.73454e-18 2.55939e-06 2.56262e-06
0.0035 1.35882e-07 4.28833e-19 2.7745e-06 2.77782e-06
0.0036 1.43279e-07 -8.10563e-19 3.00079e-06 3.0042e-06
0.0037 1.50836e-07 -1.56567e-18 3.23848e-06 3.24199e-06
0.0038 1.58542e-07 -1.71641e-18 3.4878e-06 3.49141e-06
0.0039 1.66389e-07 -1.18074e-18 3.74897e-06 3.75266e-06
0.004 1.74363e-07 -4.31616e-19 4.02219e-06 4.02596e-06
0.0041 1.82453e-07 9.87612e-20 4.30765e-06 4.31151e-06
0.0042 1.90642e-07 5.77218e-19 4.60554e-06 4.60949e-06
0.0043 1.98914e-07 1.62486e-18 4.91604e-06 4.92007e-06
0.0044 2.0725e-07 3.3111e-18 5.23932e-06 5.24342e-06
0.0045 2.15631e-07 5.39458e-18 5.57551e-06 5.57968e-06
0.0046 2.24037e-07 7.42188e-18 5.92476e-06 5.929e-06
0.0047 2.32447e-07 8.67286e-18 6.28719e-06 6.29149e-06
0.0048 2.40839e-07 9.51615e-18 6.6629e-06 6.66725e-06
0.0049 2.49193e-07 8.99348e-18 7.05199e-06 7.05639e-06
0.005 2.57489e-07 9.28526e-18 7.45453e-06 7.45898e-06
0.0051 2.65708e-07 1.15274e-17 7.87061e-06 7.87509e-06
0.0052 2.73832e-07 1.44898e-17 8.30028e-06 8.30479e-06
0.0053 2.81844e-07 1.63288e-17 8.7436e-06 8.74815e-06
0.0054 2.8973e-07 1.58334e-17 9.20065e-06 9.20521e-06
0.0055 2.97475e-07 1.36642e-17 9.67146e-06 9.67604e-06
0.0056 3.05069e-07 1.12954e-17 1.01561e-05 1.01607e-05
0.0057 3.125e-07 1.03753e-17 1.06547e-05 1.06593e-05
0.0058 3.19759e-07 1.21421e-17 1.11672e-05 1.11718e-05
0.0059 3.26838e-07 1.64255e-17 1.16939e-05 1.16985e-05
0.006 3.33731e-07 2.27652e-17 1.22347e-05 1.22393e-05
0.0061 3.4043e-07 3.02127e-17 1.27899e-05 1.27944e-05
0.0062 3.4693e-07 3.8321e-17 1.33596e-05 1.33641e-05
0.0063 3.53226e-07 4.78874e-17 1.39438e-05 1.39483e-05
0.0064 3.59313e-07 5.9694e-17 1.45429e-05 1.45474e-05
0.0065 3.65186e-07 7.37739e-17 1.51571e-05 1.51615e-05
0.0066 3.70839e-07 8.87689e-17 1.57865e-05 1.57908e-05
0.0067 3.76269e-07 1.03337e-16 1.64313e-05 1.64356e-05
