# Time forceX forceY forceZ normalForce
0 0 0 0 0
0.001 7.69231e+07 -25641 -0.0207564 -25641
0.002 1.53846e+08 27148.2 0.136049 27148.2
0.003 2.30769e+08 158379 0.204598 158379
0.004 3.07693e+08 367575 0.240804 367575
0.005 3.84618e+08 654481 0.265335 654481
0.006 4.61543e+08 1.01893e+06 0.286643 1.01893e+06
0.007 5.38471e+08 1.4608e+06 0.299505 1.4608e+06
0.008 5.77339e+08 1.8073e+06 0.0999037 1.80729e+06
0.009 5.77334e+08 2.75742e+06 0.064013 2.75741e+06
0.01 5.7733e+08 3.87997e+06 0.0592415 3.87994e+06
0.011 5.77325e+08 5.17036e+06 0.0606003 5.17032e+06
0.012 5.7732e+08 6.62779e+06 0.0632197 6.62774e+06
0.013 5.77314e+08 8.25214e+06 0.0659467 8.25207e+06
0.014 5.77308e+08 1.00434e+07 0.0688915 1.00433e+07
0.015 5.77302e+08 1.20014e+07 0.0235502 1.20012e+07
0.016 5.77295e+08 1.4126e+07 0.0135872 1.41258e+07
0.017 5.77288e+08 1.64173e+07 0.0151244 1.6417e+07
0.018 5.7728e+08 1.88749e+07 0.0236768 1.88747e+07
0.019 5.77272e+08 2.14989e+07 0.022012 2.14986e+07
0.02 5.77263e+08 2.42891e+07 0.0156594 2.42887e+07
0.021 5.77254e+08 2.72454e+07 0.0130206 2.72449e+07
0.022 5.77244e+08 3.03676e+07 0.0117119 3.0367e+07
0.023 5.77234e+08 3.36557e+07 0.0659488 3.3655e+07
0.024 5.77223e+08 3.71095e+07 0.0797526 3.71087e+07
0.025 5.77212e+08 4.07291e+07 0.0728785 4.07281e+07
0.026 5.772e+08 4.45142e+07 0.0633063 4.45131e+07
0.027 5.77187e+08 4.8465e+07 0.0587007 4.84637e+07
0.028 5.77174e+08 5.25813e+07 0.0648519 5.25799e+07
0.029 5.7716e+08 5.68632e+07 0.0807133 5.68616e+07
0.03 5.77146e+08 6.13107e+07 0.0307717 6.13089e+07
0.031 5.7713e+08 6.59239e+07 0.0305015 6.59218e+07
0.032 5.77114e+08 7.07029e+07 0.029556 7.07005e+07
0.033 5.77098e+08 7.56478e+07 0.0142223 7.56452e+07
0.034 5.7708e+08 8.07589e+07 0.0699106 8.07558e+07
0.035 5.77062e+08 8.60362e+07 0.0692018 8.60328e+07
0.036 5.77042e+08 9.148e+07 0.0277802 9.14763e+07
0.037 5.77022e+08 9.70908e+07 0.0610631 9.70866e+07
0.038 5.77001e+08 1.02869e+08 0.0879854 1.02864e+08
0.039 5.76979e+08 1.08814e+08 0.0506986 1.08809e+08
0.04 5.76956e+08 1.14927e+08 0.0369786 1.14922e+08
0.041 5.76932e+08 1.21209e+08 0.0784447 1.21203e+08
0.042 5.76906e+08 1.2766e+08 0.0320425 1.27653e+08
0.043 5.7688e+08 1.3428e+08 0.0170351 1.34272e+08
0.044 5.76853e+08 1.4107e+08 0.0110443 1.41062e+08
0.045 5.76824e+08 1.4803e+08 0.0108608 1.48021e+08
0.046 5.76794e+08 1.55161e+08 0.0293384 1.55152e+08
0.047 5.76763e+08 1.62464e+08 0.0152271 1.62453e+08
0.048 5.7673e+08 1.69938e+08 0.0777028 1.69927e+08
0.049 5.76697e+08 1.77586e+08 0.0991593 1.77574e+08
0.05 5.76661e+08 1.85407e+08 0.0375425 1.85394e+08
0.051 5.76625e+08 1.93401e+08 0.0366375 1.93387e+08
0.052 5.76587e+08 2.0157e+08 0.034913 2.01555e+08
0.053 5.76548e+08 2.09914e+08 0.01696 2.09897e+08
0.054 5.76507e+08 2.18433e+08 0.0103077 2.18415e+08
0.055 5.76465e+08 2.27127e+08 0.0112724 2.27108e+08
0.056 5.76421e+08 2.35998e+08 0.0164483 2.35978e+08
0.057 5.76376e+08 2.45046e+08 0.0275166 2.45024e+08
0.058 5.76329e+08 2.5427e+08 0.0142366 2.54247e+08
0.059 5.76281e+08 2.63672e+08 0.00846994 2.63647e+08
0.06 5.76231e+08 2.73251e+08 0.00844441 2.73224e+08
0.061 5.7618e+08 2.83008e+08 0.011739 2.82979e+08
0.062 5.76127e+08 2.92942e+08 0.0139083 2.92912e+08
0.063 5.76072e+08 3.03054e+08 0.00956486 3.03022e+08
0.064 5.76016e+08 3.13344e+08 0.00557028 3.13309e+08
0.065 5.75959e+08 3.23811e+08 0.00413432 3.23775e+08
0.066 5.759e+08 3.34456e+08 0.00474741 3.34418e+08
0.067 5.75839e+08 3.45279e+08 0.00616466 3.45238e+08
0.068 5.75777e+08 3.56279e+08 0.006146 3.56236e+08
0.069 5.75713e+08 3.67456e+08 0.00348172 3.6741e+08
0.07 5.75648e+08 3.7881e+08 0.000348816 3.78761e+08
0.071 5.75582e+08 3.9034e+08 -0.00164947 3.90289e+08
0.072 5.75514e+08 4.02046e+08 -0.00178199 4.01992e+08
0.073 5.75444e+08 4.13928e+08 -0.000943761 4.13871e+08
0.074 5.75373e+08 4.25985e+08 -0.000754997 4.25925e+08
0.075 5.75301e+08 4.38217e+08 -0.0025235 4.38154e+08
0.076 5.75227e+08 4.50624e+08 -0.00580543 4.50557e+08
0.077 5.75152e+08 4.63204e+08 -0.00864878 4.63134e+08
0.078 5.75075e+08 4.75958e+08 -0.00925761 4.75885e+08
0.079 5.74997e+08 4.88884e+08 -0.0078918 4.88808e+08
0.08 5.74918e+08 5.01983e+08 -0.00716901 5.01903e+08
0.081 5.74837e+08 5.15254e+08 -0.0087908 5.1517e+08
0.082 5.74756e+08 5.28697e+08 -0.0122423 5.28609e+08
0.083 5.74673e+08 5.4231e+08 -0.0151958 5.42218e+08
0.084 5.74588e+08 5.56093e+08 -0.0155671 5.55997e+08
0.085 5.74503e+08 5.70047e+08 -0.0134626 5.69947e+08
0.086 5.74416e+08 5.8417e+08 -0.0123214 5.84065e+08
0.087 5.74328e+08 5.98462e+08 -0.0136676 5.98353e+08
0.088 5.74239e+08 6.12923e+08 -0.0167972 6.12809e+08
0.089 5.74148e+08 6.27552e+08 -0.0192165 6.27432e+08
0.09 5.74057e+08 6.42348e+08 -0.0196113 6.42224e+08
0.091 5.73964e+08 6.57311e+08 -0.0176091 6.57182e+08
0.092 5.73871e+08 6.72441e+08 -0.016265 6.72307e+08
0.093 5.73776e+08 6.87738e+08 -0.0174387 6.87598e+08
0.094 5.7368e+08 7.032e+08 -0.0203146 7.03055e+08
0.095 5.73583e+08 7.18828e+08 -0.022132 7.18678e+08
0.096 5.73485e+08 7.34621e+08 -0.0214453 7.34465e+08
0.097 5.73386e+08 7.50579e+08 -0.0184447 7.50417e+08
0.098 5.73286e+08 7.66701e+08 -0.0177449 7.66533e+08
0.099 5.73185e+08 7.82987e+08 -0.0197165 7.82812e+08
0.1 5.73083e+08 7.99436e+08 -0.022174 7.99255e+08
